题目	选项1	选项2	选项3	选项4	选项5	选项6	答案
第一次国共合作的政治基础是（  ）。	A.新三民主义	B.新民主主义	C.社会主义	D.三民主义
关于十九届五中全会提出了“十四五”时期经济社会发展主要目标的表述正确的是_______。	A.社会文明程度得到新提高，生态文明建设实现新进步	B.民生福祉达到新水平	C.国家治理效能得到新提升	D.经济发展取得新成效，改革开放迈出新步伐
十九届五中全会深入分析了我国发展环境面临的深刻复杂变化，认为当前和今后一个时期，我国发展仍然处于_______，但机遇和挑战都有新的发展变化。	A.社会主义初级阶段	B.中等发展中国家的地位	C.经济结构转型过渡期	D.重要战略机遇期
中共十九大报告指出，建设（  ）的马克思主义执政党，使我们党始终走在时代前列，成为领导全国人民沿着中国特色社会主义道路不断前进的坚强核心。	A.服务型	B.创新型	C.开放型	D.学习型
新中国发展国民经济第一个五年计划的中心环节是（  ）。	A.优先发展沿海工业	B.优先发展轻工业	C.优先发展内地工业	D.优先发展重工业
目前对于新型冠状病毒的治疗方法是？	A.没有特定治疗方法，但是可以对症处理	B.对感染者的辅助护理能提高治疗效果	C.中西医结合治疗	D.已有特定治疗方法
如果出现发热、乏力、肌肉酸痛、咳嗽、咳痰、气促等症状，都应及时救医，并同时告诉医生发病前（  ）的旅行史，以便医生快速做出诊断。	A.1周	B.10天	C.2周	D.3天
新型冠状病毒肺炎流行，关于饮食方面，下列说法正确的是？	A.食用野生动物	B.多喝水，保持水分	C.多吃新鲜的瓜果蔬菜	D.食用禽肉蛋奶充分煮熟
正确洗手的方式包括（    ）。	A.认真搓双手至少10秒。	B.手心对手背沿指缝互相揉搓，交换进行。	C.弯曲手指使指关节在另一手掌心旋转揉搓，交换进行。	D.取适量洗手液（肥皂），均匀涂抹至整个手掌、手背、手指和指缝。
出门在外应如何预防新型冠状病毒感染？	A.正确佩戴口罩	B.搭乘公共交通出去游玩	C.避免手在接触公共物品或设施之后直接接触面部或眼睛	D.避免前往疫情高发区
关于废弃口罩的处理方式，以下说法正确的是（ ）。	A.有发热症状的需消毒后密封丢弃	B.处理完口罩后需要及时洗手	C.废弃的口罩都应丢弃到有害垃圾桶内	D.随时用完随时丢弃
关于飞沫传播，以下说法不正确的是（   ）。	A.颗粒较大，不会长时间悬浮在空气中	B.说话、咳嗽、打喷嚏都可能造成飞沫传播	C.医用类口罩不能阻挡飞沫传播	D.可以通过一定距离进入易感染的黏膜表面
佩戴医用外科口罩时，我们应该注意的事项，下列哪项是错误的（    ）？	A.佩戴时深色面朝外	B.用单手从鼻梁开始逐渐往外对称紧压两侧的金属条，使得口罩紧贴鼻梁	C.向下拉伸口罩，使口罩不留褶皱，严密覆盖鼻子和嘴巴	D.应该分清楚口罩的内外、上下
一种传染病要构成传播，必须具备哪些要素（   ）？	A.中间宿主	B.传播途径	C.易感人群	D.传染源
疫情防治期间，室内人与人之间保持（    ）米以上距离，多人共处时需佩戴口罩。	A.1	B.0、5	C.2	D.1、5
学生应严格遵守疫情期间外出管理规定。外出返校后，不按学校疫情防控要求采取相应措施的，给予(   )	A.留校察看	B.劝退	C.开除学籍	D.警告直至开除学籍处分。
留校察看处分的察看期为（   ）个月。	A.6	B.9	C.12	D.3
代写论文、买卖论文的，给予（     ）处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
损坏文物或消防、抢险救灾设备，或损坏其它财物造成严重后果和恶劣影响的，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
盗窃公私财物，视其情节轻重，给予（   ）以上处分；诈骗、抢夺、敲诈勒索公私财物比照盗窃从重处理。	A.记过	B.留校察看	C.开除学籍	D.警告
以各种形式散布、传播反动言论、虚假信息或有害信息，制造混乱，造成不良影响及后果，视其情节轻重，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
制作、传播淫秽、反动及宗教极端思想的印制品、音视频、传媒介质等者，给予（   ）分。	A.记过	B.留校察看	C.开除学籍	D.警告
宿舍内不得储藏或使用易燃、易爆、有毒和强腐蚀性物品，不得使用明火、不得使用或保管违规电器、不得违规使用电器，不得私拉电线、盗用公共用电，违者给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
组织传销、参与邪教、极端宗教主义活动，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
损坏文物或消防、抢险救灾设备，或损坏其它财物造成严重后果和恶劣影响的，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
抢夺、窃取他人试卷、答卷或者胁迫他人为自己抄袭提供方便的，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
组织成立加入非法社会团体或组织，从事非法活动的，视其情节轻重，给予（  ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
有两种以上应当受到纪律处分的违纪行为，合并处理，按其数种违纪行为中应当受到的最高处分(   )给予处分。	A.加重一档	B.加重二档	C.减轻二档	D.减轻一档
学生违反法律，法规，受到治安管理处罚，情节严重、性质恶劣的，给予（  ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
被举报人在科学研究及相关活动中有下列行为之一的，应当认定为构成学术不端行为（         ）	A.篡改他人研究成果	B.伪造科研数据、资料、文献、注释，或者捏造事实、编造虚假研究成果	C.买卖论文、由他人代写或者为他人代写论文	D.剽窃、抄袭、侵占他人学术成果
学术不端行为调查可通过（             ）、询问举报人和被举报人等方式进行。调查组认为有必要的，可以委托无利害关系的专家或者第三方专业机构就有关事项进行独立调查或者验证。	A.现场查看	B.实验检验	C.询问证人	D.查询资料
研究生从事学术研究，撰写的论文、报告、设计等应是本人理论探索、实验研究及社会调查等活动的真实反映和系统总结，应尊重他人的知识产权，在作品中引用他人（        ）方案和构架等时，无论是何种（纸质或电子）载体，是否已经发表，均应注明出处。	A.论据	B.调查资料	C.统计数据	D.观点
学生不得有（                ），传播、复制、贩卖非法书刊和音像制品等违法行为。	A.打架斗殴	B.赌博	C.吸毒	D.酗酒
学校应当开展学生诚信教育，以适当方式记录学生（           ）等方面的诚信信息，建立对失信行为的约束和惩戒机制。	A.学术	B.品行	C.论文	D.学业
在思想品德、学业成绩等方面获得科学、公正评价，完成学校规定学业后获得相应的（      ）。	A.学位证书	B.成绩证明	C.奖励证书	D.学历证书
学生在校期间享有以下权利（        ）。	A.志愿服务	B.勤工助学	C.文娱体育	D.科技文化创新活动	E.社会实践
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬中华优秀传统文化和革命文化、社会主义先进文化，培养学生的（         ）。	A.创新精神	B.实践能力	C.全面发展	D.社会责任感
考试结束铃响,学生应立即停止答卷，将试卷翻放，待监考教师收齐试卷清点无误后，有秩序地离开考场，并不准将试卷和（    ）带走。	A.复习资料	B.计算器	C.草稿纸	D.文具
